 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
      1220.0000    -5600.95794   -5528.11580      72.84214        3.19158   -5528.86714     400.14350
      1230.0000    -5601.77312   -5527.51503      74.25809        3.18327   -5529.91483     397.68804
      1240.0000    -5598.83761   -5524.11859      74.71902        3.19914   -5527.91409     401.56903
      1250.0000    -5601.36930   -5528.69308      72.67622        3.20953   -5526.60441     405.55607
      1260.0000    -5601.45092   -5527.17232      74.27860        3.20692   -5526.93394     405.06060
      1270.0000    -5599.74657   -5527.29791      72.44866        3.20237   -5527.50679     403.11647
      1280.0000    -5601.54642   -5529.35860      72.18781        3.19384   -5528.58255     400.33877
      1290.0000    -5602.49092   -5528.66080      73.83012        3.19520   -5528.41039     401.42637
      1300.0000    -5600.09668   -5527.02911      73.06758        3.18917   -5529.17074     400.00147
      1310.0000    -5601.50593   -5526.37318      75.13275        3.19523   -5528.40683     401.58609
      1320.0000    -5601.31576   -5526.78606      74.52970        3.19803   -5528.05390     402.88668
      1330.0000    -5601.39501   -5530.00219      71.39282        3.18068   -5530.24130     396.89880
      1340.0000    -5599.06233   -5525.60577      73.45656        3.20852   -5526.73258     405.85002
      1350.0000    -5603.84971   -5527.98195      75.86776        3.20364   -5527.34742     403.89085
      1360.0000    -5604.25661   -5531.07843      73.17818        3.20318   -5527.40490     404.48454
      1370.0000    -5602.06138   -5528.48594      73.57544        3.16341   -5532.41773     391.81802
      1380.0000    -5601.39937   -5528.68404      72.71533        3.17387   -5531.09921     395.23644
      1390.0000    -5601.72434   -5530.84626      70.87808        3.18954   -5529.12383     400.23055
      1400.0000    -5601.52425   -5525.48838      76.03587        3.17236   -5531.28994     394.13124
      1410.0000    -5601.36319   -5527.62705      73.73613        3.21752   -5525.59822     408.61081
      1420.0000    -5600.80820   -5530.03562      70.77258        3.20252   -5527.48839     403.88068
      1430.0000    -5602.96298   -5529.31717      73.64581        3.19005   -5529.05936     400.20353
      1440.0000    -5604.28441   -5530.12100      74.16341        3.18404   -5529.81744     399.56042
      1450.0000    -5601.22485   -5526.09655      75.12830        3.19043   -5529.01184     402.03375
      1460.0000    -5601.84844   -5531.77912      70.06932        3.18571   -5529.60676     399.34817
