 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
      1910.0000    -5765.39624   -5596.13252     169.26372       -1.42733   -5594.24847     908.00099
      1920.0000    -5763.35737   -5602.16648     161.19089       -1.44853   -5596.92116     902.07256
      1930.0000    -5759.98220   -5598.11805     161.86415       -1.49502   -5602.78013     886.53803
      1940.0000    -5766.42884   -5603.74963     162.67921       -1.48447   -5601.45134     893.86195
      1950.0000    -5760.92655   -5594.77710     166.14945       -1.45895   -5598.23378     898.00936
      1960.0000    -5763.25750   -5597.54855     165.70895       -1.42898   -5594.45635     904.74437
      1970.0000    -5762.93645   -5598.78375     164.15270       -1.46125   -5598.52366     902.70551
      1980.0000    -5767.70091   -5601.18780     166.51311       -1.48366   -5601.34857     893.66518
      1990.0000    -5762.91483   -5597.73027     165.18456       -1.50101   -5603.53552     883.94828
      2000.0000    -5758.96218   -5594.91708     164.04509       -1.44548   -5596.53658     903.64695
      2010.0000    -5776.54390   -5618.69966     157.84424       -1.55147   -5609.89488     874.56536
      2020.0000    -5780.63224   -5621.86179     158.77044       -1.66310   -5623.96457     850.69155
      2030.0000    -5773.01696   -5625.38935     147.62762       -1.64766   -5622.01862     850.60332
      2040.0000    -5781.41838   -5630.28524     151.13314       -1.67633   -5625.63306     842.66363
      2050.0000    -5786.81588   -5636.42048     150.39540       -1.72393   -5631.63205     838.52734
      2060.0000    -5787.11277   -5630.37022     156.74255       -1.76617   -5636.95559     834.30770
      2070.0000    -5783.37938   -5633.43156     149.94782       -1.72706   -5632.02658     833.78170
      2080.0000    -5781.27189   -5631.59192     149.67998       -1.73162   -5632.60152     832.86767
      2090.0000    -5778.01317   -5623.93969     154.07348       -1.71739   -5630.80813     833.30464
      2100.0000    -5783.33711   -5627.77380     155.56331       -1.67694   -5625.70977     845.99829
      2110.0000    -5778.00427   -5619.53548     158.46879       -1.66600   -5624.33029     852.37847
      2120.0000    -5787.03148   -5634.29394     152.73754       -1.69346   -5627.79113     845.90514
      2130.0000    -5784.39506   -5631.38822     153.00684       -1.74134   -5633.82655     834.38753
      2140.0000    -5768.87163   -5613.81791     155.05372       -1.69995   -5628.60977     832.41412
      2150.0000    -5774.12904   -5620.81312     153.31592       -1.60192   -5616.25455     860.53272
      2160.0000    -5783.06157   -5628.87634     154.18523       -1.63226   -5620.07862     845.88425
      2170.0000    -5780.47697   -5624.25294     156.22403       -1.67944   -5626.02471     843.90785
      2180.0000    -5782.81924   -5626.44613     156.37311       -1.65076   -5622.41013     858.59991
      2190.0000    -5780.95704   -5631.76326     149.19378       -1.75428   -5635.45785     828.20255
      2200.0000    -5778.63069   -5624.79636     153.83433       -1.69150   -5627.54456     842.40826
      2210.0000    -5772.61436   -5620.56264     152.05173       -1.66311   -5623.96591     844.65829
      2220.0000    -5770.66239   -5617.53786     153.12453       -1.60806   -5617.02796     859.13272
      2230.0000    -5776.87265   -5615.83834     161.03431       -1.62629   -5619.32586     853.99322
      2240.0000    -5777.87328   -5620.22103     157.65224       -1.62161   -5618.73604     852.00063
      2250.0000    -5771.39977   -5622.07900     149.32077       -1.62350   -5618.97437     857.13914
      2260.0000    -5769.47640   -5610.14570     159.33070       -1.60164   -5616.21822     856.31730
      2270.0000    -5773.61380   -5613.84845     159.76534       -1.60148   -5616.19853     861.47640
      2280.0000    -5784.03783   -5632.34540     151.69243       -1.66539   -5624.25422     851.95713
      2290.0000    -5777.85430   -5623.63806     154.21624       -1.70196   -5628.86257     838.05635
      2300.0000    -5775.34400   -5619.60563     155.73837       -1.62480   -5619.13834     859.71716
      2310.0000    -5788.79042   -5632.00535     156.78507       -1.67589   -5625.57665     839.19247
      2320.0000    -5781.90088   -5628.27175     153.62913       -1.66716   -5624.47712     846.59691
      2330.0000    -5779.82998   -5622.11031     157.71966       -1.62339   -5618.96007     862.10619
      2340.0000    -5779.33291   -5619.74994     159.58297       -1.62483   -5619.14194     866.65879
      2350.0000    -5775.38937   -5621.39163     153.99774       -1.62875   -5619.63575     856.10058
      2360.0000    -5782.58964   -5623.65459     158.93505       -1.62235   -5618.82910     859.55878
      2370.0000    -5783.00515   -5625.68329     157.32186       -1.68771   -5627.06733     844.84705
      2380.0000    -5781.08714   -5633.05801     148.02912       -1.71074   -5629.96990     839.74818
      2390.0000    -5783.73897   -5631.75624     151.98273       -1.69141   -5627.53324     848.35960
      2400.0000    -5772.44665   -5621.44473     151.00193       -1.68034   -5626.13816     850.14286
      2410.0000    -5769.42986   -5615.62681     153.80305       -1.62919   -5619.69087     851.88128
      2420.0000    -5777.00452   -5622.22516     154.77937       -1.62941   -5619.71896     859.01614
      2430.0000    -5785.80619   -5628.09182     157.71438       -1.67340   -5625.26387     847.82611
      2440.0000    -5785.48520   -5631.73288     153.75231       -1.72900   -5632.27053     845.19211
      2450.0000    -5775.16178   -5620.34792     154.81387       -1.66794   -5624.57470     855.42838
      2460.0000    -5778.59365   -5626.33926     152.25439       -1.64883   -5622.16707     852.74458
      2470.0000    -5778.29454   -5620.89004     157.40450       -1.65129   -5622.47723     851.76131
      2480.0000    -5785.16270   -5631.54159     153.62111       -1.71099   -5630.00174     840.95019
      2490.0000    -5781.85012   -5624.26338     157.58674       -1.72077   -5631.23383     837.11930
      2500.0000    -5779.10967   -5619.82354     159.28613       -1.65307   -5622.70041     854.50951
      2510.0000    -5775.36810   -5613.81872     161.54938       -1.63481   -5620.39959     857.69560
      2520.0000    -5781.93857   -5627.37091     154.56766       -1.62367   -5618.99562     859.54465
      2530.0000    -5785.90844   -5628.39717     157.51127       -1.68875   -5627.19813     843.70200
      2540.0000    -5780.56678   -5623.03083     157.53595       -1.68214   -5626.36433     844.86114
      2550.0000    -5777.86120   -5626.38816     151.47304       -1.65827   -5623.35610     851.40199
      2560.0000    -5779.60145   -5623.89870     155.70275       -1.70025   -5628.64767     845.64286
      2570.0000    -5781.75672   -5628.69985     153.05687       -1.67958   -5626.04269     851.77521
      2580.0000    -5775.40928   -5617.42628     157.98300       -1.64716   -5621.95556     855.80502
      2590.0000    -5772.34258   -5616.73427     155.60831       -1.63852   -5620.86650     856.47189
      2600.0000    -5776.59353   -5624.61241     151.98112       -1.62695   -5619.40850     852.00231
      2610.0000    -5772.06371   -5614.61066     157.45305       -1.61329   -5617.68674     855.65824
      2620.0000    -5778.32080   -5612.57095     165.74985       -1.58768   -5614.45894     859.32201
      2630.0000    -5783.79958   -5627.65419     156.14539       -1.63599   -5620.54850     857.27160
      2640.0000    -5780.71021   -5626.29515     154.41506       -1.67907   -5625.97852     850.00522
      2650.0000    -5779.65111   -5618.93170     160.71941       -1.64725   -5621.96699     852.07373
      2660.0000    -5788.55686   -5630.90654     157.65032       -1.67643   -5625.64509     847.43122
      2670.0000    -5779.83483   -5623.82708     156.00775       -1.69991   -5628.60481     842.71123
      2680.0000    -5775.49456   -5619.35617     156.13838       -1.68139   -5626.27042     845.39783
      2690.0000    -5784.01354   -5626.07094     157.94259       -1.68400   -5626.59897     841.04356
      2700.0000    -5776.83285   -5620.73892     156.09393       -1.65454   -5622.88617     853.29064
      2710.0000    -5773.79809   -5621.84247     151.95562       -1.65091   -5622.42840     842.83402
      2720.0000    -5779.42448   -5627.42169     152.00279       -1.66572   -5624.29537     853.87324
      2730.0000    -5778.01654   -5622.02658     155.98997       -1.63442   -5620.35040     854.52634
      2740.0000    -5780.14618   -5622.76868     157.37750       -1.66368   -5624.03821     850.59233
      2750.0000    -5784.32586   -5626.21833     158.10754       -1.66424   -5624.10861     844.66591
      2760.0000    -5780.30674   -5623.68986     156.61688       -1.66905   -5624.71483     846.87008
      2770.0000    -5781.84947   -5621.39372     160.45576       -1.64459   -5621.63273     858.73125
      2780.0000    -5779.02597   -5626.57182     152.45415       -1.68450   -5626.66197     846.77643
      2790.0000    -5782.54924   -5625.50948     157.03976       -1.73896   -5633.52705     833.17118
      2800.0000    -5775.91857   -5622.56016     153.35841       -1.62263   -5618.86465     853.13469
      2810.0000    -5778.63749   -5623.35542     155.28207       -1.64987   -5622.29726     846.82685
      2820.0000    -5773.12236   -5614.24160     158.88076       -1.60332   -5616.43097     863.48567
      2830.0000    -5767.74036   -5610.53715     157.20321       -1.57319   -5612.63237     866.98585
      2840.0000    -5778.03506   -5615.41546     162.61959       -1.61360   -5617.72680     858.06221
      2850.0000    -5779.18055   -5620.76359     158.41696       -1.62546   -5619.22111     861.91912
      2860.0000    -5779.71084   -5626.65676     153.05408       -1.67291   -5625.20141     851.34704
      2870.0000    -5768.26229   -5614.76934     153.49294       -1.63612   -5620.56452     860.08926
      2880.0000    -5774.97570   -5625.41097     149.56473       -1.61479   -5617.87562     854.04900
      2890.0000    -5777.48439   -5622.39861     155.08578       -1.63103   -5619.92365     855.53846
      2900.0000    -5780.27952   -5624.06307     156.21645       -1.62880   -5619.64222     852.58125
      2910.0000    -5775.29785   -5620.48005     154.81779       -1.64595   -5621.80417     853.35249
      2920.0000    -5775.81232   -5622.19458     153.61774       -1.63977   -5621.02451     855.32671
      2930.0000    -5778.67064   -5619.98421     158.68642       -1.63918   -5620.95092     861.17597
      2940.0000    -5777.42277   -5615.96442     161.45835       -1.63379   -5620.27104     853.95427
      2950.0000    -5778.82689   -5626.94903     151.87785       -1.64929   -5622.22473     854.21750
      2960.0000    -5784.56136   -5628.76444     155.79693       -1.68926   -5627.26182     844.00180
      2970.0000    -5776.29285   -5623.94082     152.35202       -1.70568   -5629.33181     841.33532
