 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
      1160.0000    -4793.64184   -4719.30329      74.33856        4.50304   -4720.05667     398.77372
      1170.0000    -4794.54476   -4721.80565      72.73911        4.48904   -4721.82111     394.17154
      1180.0000    -4792.18173   -4720.54454      71.63718        4.49859   -4720.61764     397.16395
      1190.0000    -4791.82004   -4717.30437      74.51567        4.51009   -4719.16804     400.96961
      1200.0000    -4792.21766   -4718.49069      73.72697        4.51178   -4718.95522     401.50929
      1210.0000    -4788.35190   -4717.06955      71.28235        4.51233   -4718.88579     401.57151
      1220.0000    -4794.89913   -4721.24244      73.65669        4.49295   -4721.32904     395.27750
      1230.0000    -4792.76900   -4721.40703      71.36196        4.47805   -4723.20701     390.79344
      1240.0000    -4796.83079   -4726.11501      70.71578        4.50510   -4719.79716     399.49635
      1250.0000    -4793.14168   -4719.27634      73.86533        4.48650   -4722.14164     393.35158
      1260.0000    -4791.46585   -4717.89803      73.56782        4.52260   -4717.59189     405.27119
      1270.0000    -4793.19260   -4719.09587      74.09673        4.52494   -4717.29714     405.42809
      1280.0000    -4794.06000   -4720.36088      73.69912        4.50457   -4719.86476     399.13875
      1290.0000    -4794.84639   -4721.74892      73.09747        4.48265   -4722.62769     392.34398
      1300.0000    -4791.81376   -4719.90906      71.90471        4.49299   -4721.32383     395.59427
      1310.0000    -4793.26833   -4721.80098      71.46735        4.50355   -4719.99308     399.22271
      1320.0000    -4792.85489   -4720.56697      72.28792        4.50311   -4720.04826     398.59544
      1330.0000    -4793.17817   -4718.01495      75.16323        4.50207   -4720.17897     398.22506
      1340.0000    -4794.10231   -4721.00538      73.09693        4.51608   -4718.41347     402.65248
      1350.0000    -4794.50978   -4722.38898      72.12080        4.50622   -4719.65634     399.62888
      1360.0000    -4794.26461   -4721.04827      73.21633        4.48940   -4721.77605     394.34273
      1370.0000    -4793.48554   -4720.30899      73.17655        4.50792   -4719.44182     400.05144
      1380.0000    -4793.50645   -4720.94182      72.56463        4.50260   -4720.11266     398.57357
      1390.0000    -4793.07927   -4721.47997      71.59930        4.48907   -4721.81813     394.42685
      1400.0000    -4795.78659   -4721.25276      74.53383        4.48553   -4722.26474     393.16483
      1410.0000    -4793.26212   -4723.15996      70.10216        4.48926   -4721.79456     394.33313
      1420.0000    -4790.29583   -4719.73135      70.56447        4.49550   -4721.00732     396.23716
      1430.0000    -4791.09126   -4719.04067      72.05059        4.51816   -4718.15205     403.63510
      1440.0000    -4794.76614   -4721.07971      73.68642        4.49805   -4720.68642     397.20169
      1450.0000    -4794.99656   -4724.50244      70.49412        4.48751   -4722.01405     393.90409
      1460.0000    -4793.47062   -4723.23088      70.23974        4.47466   -4723.63425     389.68423
      1470.0000    -4796.16618   -4720.62729      75.53889        4.48833   -4721.91072     393.87523
      1480.0000    -4794.04898   -4720.60404      73.44494        4.50392   -4719.94576     399.08027
      1490.0000    -4795.36906   -4719.03898      76.33008        4.49259   -4721.37459     395.41395
      1500.0000    -4791.65037   -4718.33229      73.31808        4.53244   -4716.35140     408.07617
      1510.0000    -4790.30338   -4716.05342      74.24995        4.51716   -4718.27775     403.07941
      1520.0000    -4792.60235   -4719.56211      73.04024        4.50076   -4720.34428     397.92933
      1530.0000    -4790.15534   -4714.00874      76.14660        4.51274   -4718.83454     401.42062
      1540.0000    -4793.23593   -4721.74407      71.49186        4.51445   -4718.61888     402.04194
      1550.0000    -4792.66653   -4719.35082      73.31571        4.48080   -4722.86046     391.41694
      1560.0000    -4791.64807   -4718.49321      73.15486        4.49934   -4720.52358     397.50924
      1570.0000    -4792.06914   -4719.10559      72.96355        4.51237   -4718.88161     401.64638
      1580.0000    -4795.97335   -4725.61430      70.35905        4.49569   -4720.98355     396.44104
      1590.0000    -4790.92623   -4716.54868      74.37755        4.49266   -4721.36544     395.39400
      1600.0000    -4792.96213   -4720.49364      72.46849        4.51032   -4719.13937     401.14775
      1610.0000    -4791.73405   -4716.07586      75.65819        4.51623   -4718.39460     403.03791
      1620.0000    -4791.08897   -4717.40732      73.68165        4.52948   -4716.72499     407.12576
      1630.0000    -4792.92847   -4717.54337      75.38510        4.53076   -4716.56399     407.72369
      1640.0000    -4792.76546   -4716.56571      76.19975        4.51878   -4718.07316     403.61444
      1650.0000    -4794.28872   -4719.65874      74.62998        4.52316   -4717.52116     404.89670
      1660.0000    -4792.04426   -4717.94925      74.09501        4.52057   -4717.84764     404.20790
      1670.0000    -4791.28408   -4720.02522      71.25886        4.52063   -4717.83962     404.34465
      1680.0000    -4791.59165   -4718.53576      73.05589        4.52259   -4717.59361     405.11474
      1690.0000    -4790.61109   -4722.10458      68.50650        4.50711   -4719.54448     399.94191
      1700.0000    -4795.30594   -4719.87322      75.43272        4.49071   -4721.61153     394.80021
      1710.0000    -4796.09233   -4722.81585      73.27648        4.49215   -4721.42950     395.15726
      1720.0000    -4790.10434   -4716.13509      73.96924        4.50574   -4719.71743     399.54378
      1730.0000    -4794.28173   -4721.18991      73.09182        4.51209   -4718.91603     401.49382
      1740.0000    -4791.72446   -4719.34475      72.37971        4.49134   -4721.53161     394.95027
      1750.0000    -4790.86436   -4718.36187      72.50250        4.50126   -4720.28187     398.12880
